Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
SleepConditionVariableCS,3,66.51,66.51,"13,603.77","13,603.77",KERNELBASE.dll
[dxgi.dll],"118,365",14.73,14.73,0.08,0.08,dxgi.dll
Engine::Physics::CollisionRun,"118,365",7.78,2.36,0.04,0.01,Game.exe
WeakPtr<GameObject>::Acquire,"2,997,023",2.17,2.17,0,0,Game.exe
GLib::Sprites::RenderSprite,"236,730",3.65,1.93,0.01,0.01,Game.exe
Engine::Collision::Collider::Collider,"236,740",2.08,1.86,0.01,0,Game.exe
Engine::Rendering::Present,"118,365",22.22,1.57,0.12,0.01,Game.exe
GLib::Sprites::BeginRendering,"118,365",1.39,1.08,0.01,0.01,Game.exe
Engine::Collision::CollisionDetection,"118,374",1.64,1.02,0.01,0.01,Game.exe
DirectX::XMMatrixMultiplyTranspose,"236,730",0.95,0.95,0,0,Game.exe
std::_Wrap_alloc<std::allocator<PhysicsInfo * __ptr64> >::allocate,"355,125",0.99,0.92,0,0,Game.exe
PhysicsInfo::UpdateObject,"236,730",1.49,0.71,0,0,Game.exe
wWinMain,1,32.97,0.66,"20,232.53",404.76,Game.exe
wWinMainCRTStartup,1,33.49,0.52,"20,549.73",317.11,Game.exe
"std::vector<PhysicsInfo * __ptr64,std::allocator<PhysicsInfo * __ptr64> >::vector<PhysicsInfo * __ptr64,std::allocator<PhysicsInfo * __ptr64> >","355,120",1.45,0.42,0,0,Game.exe
[d3d11.dll],"236,730",0.34,0.34,0,0,d3d11.dll
"std::vector<Engine::JobSystem::JobRunnerData * __ptr64,std::allocator<Engine::JobSystem::JobRunnerData * __ptr64> >::push_back","236,732",0.42,0.34,0,0,Game.exe
__security_check_cookie,"1,304,865",0.27,0.27,0,0,Game.exe
[d3d11.dll],"118,365",0.21,0.21,0,0,d3d11.dll
DirectX::XMMatrixMultiply,"236,730",0.21,0.21,0,0,Game.exe
operator new,"947,024",0.17,0.17,0,0,Game.exe
[d3d11.dll],"236,734",0.1,0.1,0,0,d3d11.dll
Engine::Physics::Update,"118,365",9.77,0.1,0.05,0,Game.exe
D3D11CreateDevice,1,0.07,0.07,44.25,44.25,d3d11.dll
[dxgi.dll],1,0.07,0.07,43.94,43.94,dxgi.dll
PeekMessageW,"119,008",0.08,0.07,0,0,USER32.dll
operator delete,"355,130",0.06,0.06,0,0,Game.exe
[d3d11.dll],2,0.06,0.06,18.44,18.44,d3d11.dll
memcpy,"591,861",0.05,0.05,0,0,VCRUNTIME140.dll
[d3d11.dll],"118,365",0.04,0.04,0,0,d3d11.dll
Engine::Math::Matrix::GetInverse,"236,740",0.06,0.04,0,0,Game.exe
[d3d11.dll],"236,730",0.04,0.04,0,0,d3d11.dll
NtdllDefWindowProc_W,"1,577",0.04,0.04,0.02,0.01,ntdll.dll
[d3d11.dll],"118,365",0.03,0.03,0,0,d3d11.dll
[d3d11.dll],"118,365",0.03,0.03,0,0,d3d11.dll
[d3d11.dll],"236,730",0.03,0.03,0,0,d3d11.dll
"std::vector<Engine::JobSystem::JobRunnerData * __ptr64,std::allocator<Engine::JobSystem::JobRunnerData * __ptr64> >::_Reallocate","236,732",0.08,0.03,0,0,Game.exe
Engine::Math::Matrix::operator*,"355,120",0.02,0.02,0,0,Game.exe
PhysicsInfo::getGameObject,"947,056",0.02,0.02,0,0,Game.exe
[d3d11.dll],"118,365",0.02,0.02,0,0,d3d11.dll
std::_Wrap_alloc<std::allocator<void * __ptr64> >::deallocate,"355,127",0.08,0.02,0,0,Game.exe
[d3d11.dll],"236,730",0.01,0.01,0,0,d3d11.dll
Engine::Math::Matrix::Determinant,"236,740",0.01,0.01,0,0,Game.exe
[d3d11.dll],"118,365",0.01,0.01,0,0,d3d11.dll
DirectX::XMScalarSinCos,"236,730",0.01,0.01,0,0,Game.exe
[d3d11.dll],"118,365",0.01,0.01,0,0,d3d11.dll
[d3d11.dll],"118,365",0.01,0.01,0,0,d3d11.dll
GLib::DrawResourcesBuffer::GetDeviceBuffer,"118,365",0.01,0.01,0,0,Game.exe
CreateWindowExW,1,0,0,2.92,2.4,USER32.dll
ShowWindow,1,0.02,0,12.06,1.92,USER32.dll
GetRawInputData,348,0,0,0,0,USER32.dll
[d3d11.dll],3,0,0,0.36,0.36,d3d11.dll
AdjustWindowRect,1,0,0,0.8,0.8,USER32.dll
DispatchMessageW,643,0.01,0,0.01,0,USER32.dll
fread,3,0,0,0.17,0.17,ucrtbase.dll
[d3d11.dll],3,0,0,0.12,0.12,d3d11.dll
[d3d11.dll],1,0,0,0.23,0.23,d3d11.dll
fopen_s,3,0,0,0.07,0.07,ucrtbase.dll
WaitForMultipleObjects,1,0,0,0.2,0.2,KERNEL32.DLL
GLib::WndProc,"1,579",0.04,0,0.02,0,Game.exe
PostQuitMessage,1,0,0,0.13,0.13,USER32.dll
CreateSprite,1,0,0,1.22,0.11,Game.exe
[d3d11.dll],1,0,0,0.11,0.11,d3d11.dll
[d3d11.dll],1,0,0,0.07,0.07,d3d11.dll
realloc,337,0,0,0,0,ucrtbase.dll
GLib::Input::Service,174,0,0,0.01,0,Game.exe
luaH_newkey,374,0,0,0,0,Game.exe
luaL_loadbufferx,1,0,0,0.39,0.05,Game.exe
CreateThread,2,0,0,0.02,0.02,KERNEL32.DLL
TranslateAcceleratorW,643,0,0,0,0,USER32.dll
internshrstr,240,0,0,0,0,Game.exe
luaZ_fill,2,0,0,0.03,0.02,Game.exe
GLib::Initialize,1,0.17,0,105.28,0.04,Game.exe
llex,266,0,0,0,0,Game.exe
luaM_realloc_,675,0,0,0,0,Game.exe
[d3d11.dll],2,0,0,0.02,0.02,d3d11.dll
pre_c_initialization,1,0,0,0.04,0.04,Game.exe
BeginPaint,1,0,0,0.04,0.04,USER32.dll
EndPaint,1,0,0,0.04,0.04,USER32.dll
TranslateMessage,643,0,0,0,0,USER32.dll
RegisterClassExW,1,0,0,0.04,0.04,USER32.dll
fclose,3,0,0,0.01,0.01,ucrtbase.dll
l_alloc,685,0,0,0,0,Game.exe
free,348,0,0,0,0,ucrtbase.dll
lua_setfield,145,0,0,0,0,Game.exe
RegisterRawInputDevices,1,0,0,0.03,0.03,USER32.dll
LoadIconW,2,0,0,0.01,0.01,USER32.dll
luaS_new,302,0,0,0,0,Game.exe
auxsetstr,188,0,0,0,0,Game.exe
pre_cpp_initialization,1,0,0,0.02,0.02,Game.exe
Engine::InputSystem::ButtonChangeCallback,48,0,0,0,0,Game.exe
[d3d11.dll],1,0,0,0.02,0.02,d3d11.dll
getenv,4,0,0,0,0,ucrtbase.dll
fseek,6,0,0,0,0,ucrtbase.dll
mainfunc,1,0,0,0.27,0.02,Game.exe
lua_newstate,1,0,0,0.1,0.02,Game.exe
strtod,12,0,0,0,0,ucrtbase.dll
mainposition,457,0,0,0,0,Game.exe
[dxgi.dll],1,0,0,0.02,0.02,dxgi.dll
setnodevector,48,0,0,0,0,Game.exe
[d3d11.dll],1,0,0,0.01,0.01,d3d11.dll
luaV_tointeger,25,0,0,0,0,Game.exe
luaopen_base,1,0,0,0.06,0.01,Game.exe
Engine::JobSystem::CreateQueue,1,0,0,0.07,0.01,Game.exe
[d3d11.dll],1,0,0,0.01,0.01,d3d11.dll
GLib::Input::ResizeReadBuffer,174,0,0,0,0,Game.exe
luaV_finishset,190,0,0,0,0,Game.exe
CreateTextureFromDDS,4,0,0,0.43,0,Game.exe
luaH_resize,48,0,0,0,0,Game.exe
luaopen_io,1,0,0,0.08,0.01,Game.exe
mainposition,15,0,0,0,0,Game.exe
luaopen_package,1,0,0,0.09,0.01,Game.exe
luaopen_string,1,0,0,0.03,0.01,Game.exe
[d3d11.dll],3,0,0,0,0,d3d11.dll
reallymarkobject,317,0,0,0,0,Game.exe
init_registry,1,0,0,0.02,0.01,Game.exe
f_parser,1,0,0,0.34,0.01,Game.exe
[d3d11.dll],1,0,0,0.01,0.01,d3d11.dll
"Engine::Delegate<unsigned int,bool>::method_stub<PlayerController,&PlayerController::HandleInput>",48,0,0,0,0,Game.exe
[d3d11.dll],2,0,0,0,0,d3d11.dll
PlayerController::HandleInput,48,0,0,0,0,Game.exe
luaD_rawrunprotected,7,0,0,0.06,0,Game.exe
mainposition,500,0,0,0,0,Game.exe
